,film,revenue,release_date
372,The Best Man,34573780,1999-10-22
373,Dogma,31429330,1999-11-12
374,Virus,30700000,1999-01-14
375,Mystery Men,29762011,1999-08-06
376,The Out-of-Towners,29000000,1999-04-02
377,Go,28451622,1999-04-09
378,East Is East,28200000,1999-05-14
379,The Deep End of the Ocean,28121100,1999-03-12
380,Dick,27500000,1999-08-04
381,The Wood,25059640,1999-07-16
382,Godzilla 2000: Millennium,25037390,1999-12-11
383,The Iron Giant,23159305,1999-08-06
384,Detective Conan: The Last Wizard of the Century,22951145,1999-04-17
385,Being John Malkovich,22863596,1999-10-29
386,Drive Me Crazy,22593409,1999-10-01
387,Muppets from Space,22300000,1999-07-14
388,Mudhalvan,22000000,1999-11-07
389,Stir of Echoes,21133087,1999-09-10
390,Tea with Mussolini,21001563,1999-03-25
391,Digimon Adventure,20000000,1999-03-06
392,The Astronaut's Wife,19598588,1999-08-26
393,Summer of Sam,19288130,1999-07-02
394,Ringu 2,18686644,1999-01-23
395,Anywhere but Here,18653615,1999-11-12
396,The Thirteenth Floor,18564088,1999-04-16
397,An Ideal Husband,18535191,1999-04-15
398,The Rage: Carrie 2,17762705,1999-03-11
399,Eye of the Beholder,17589705,1999-09-04
400,Mission: Impossible II,546388105,2000-05-24
401,Gladiator,465361176,2000-05-01
402,Cast Away,429632142,2000-12-22
403,What Women Want,374111707,2000-12-15
404,Dinosaur,354248063,2000-05-19
405,How the Grinch Stole Christmas,345141403,2000-11-17
406,Meet the Parents,330444045,2000-10-06
407,The Perfect Storm,325756637,2000-06-29
408,The King Is Dancing,320300000,2000-12-06
409,X-Men,296339527,2000-07-13
410,What Lies Beneath,291420351,2000-07-21
411,Scary Movie,278019771,2000-07-07
412,Charlie's Angels,264105545,2000-11-02
413,Erin Brockovich,256271286,2000-03-17
414,Unbreakable,248118121,2000-11-22
415,Gone in Sixty Seconds,237202299,2000-06-09
416,Chicken Run,224834564,2000-06-21
417,Vertical Limit,215663859,2000-12-08
418,The Patriot,215294342,2000-06-28
419,"Crouching Tiger, Hidden Dragon",213525736,2000-07-06
420,Miss Congeniality,212000000,2000-12-22
421,Traffic,207515725,2000-03-23
422,Hollow Man,190213455,2000-08-04
423,102 Dalmatians,183611771,2000-10-07
424,Big Momma's House,173959438,2000-05-31
425,The Emperor's New Groove,169327687,2000-12-15
426,Scream 3,161834276,2000-02-03
427,Chocolat,152500343,2000-03-02
428,"Me, Myself & Irene",149270999,2000-06-22
429,The Beach,144056873,2000-02-03
430,Remember the Titans,136706683,2000-09-29
431,Space Cowboys,128884132,2000-08-04
432,U-571,127666415,2000-04-20
433,The Family Man,124700000,2000-12-12
434,Nutty Professor II: The Klumps,123307945,2000-07-27
435,Road Trip,119754278,2000-05-19
436,Coyote Ugly,113916474,2000-07-30
437,Final Destination,112880294,2000-03-17
438,Billy Elliot,109280263,2000-09-28
439,Shaft,107196498,2000-06-15
440,The Whole Nine Yards,106371651,2000-02-18
441,The Cell,104155843,2000-08-17
442,The 6th Day,96085477,2000-11-17
443,Romeo Must Die,91036760,2000-03-22
444,Bring It On,90449929,2000-08-25
445,Bedazzled,90383208,2000-10-19
446,Snatch,83557872,2000-09-01
447,Finding Forrester,80049764,2000-12-21
448,The Road to El Dorado,76432727,2000-03-31
449,"Dude, Where's My Car?",73180723,2000-12-15
450,"O Brother, Where Art Thou?",71868327,2000-08-30
451,Rules of Engagement,71000000,2000-04-07
452,The Kid,69700000,2000-07-07
453,Pokémon 3: The Movie - Spell of the Unown,68411275,2000-07-08
454,Frequency,68106245,2000-04-28
455,Taxi 2,64400000,2000-03-25
456,Snow Day,62500000,2000-02-11
457,Mission to Mars,60874615,2000-03-10
458,Keeping the Faith,59945183,2000-04-14
459,Next Friday,59827328,2000-01-12
460,The Flintstones in Viva Rock Vegas,59468275,2000-04-28
461,Little Nicky,58292295,2000-11-10
462,Shanghai Noon,56932305,2000-05-26
463,Pay It Forward,55707411,2000-10-20
464,Pitch Black,53187659,2000-02-18
465,Hanging Up,51880044,2000-02-16
466,The Replacements,50054511,2000-08-11
467,Men of Honor,48814909,2000-09-13
